Core_size,Hydro_size,Surface_charge,Surface_area,Formation_enthalpy,Conduction_band,Valence_band,Electronegativity,Exposure_time,Exposure_dose,Toxicity,Material_type_Al2O3,Material_type_Co3O4,Material_type_CoO,Material_type_Cr2O3,Material_type_CuO,Material_type_Fe2O3,Material_type_Fe3O4,Material_type_In2O3,Material_type_Mn2O3,Material_type_SiO2,Material_type_TiO2,Material_type_ZnO,Assay_ATP,Assay_Alamar blue,Assay_Annexiv V/PI staining,Assay_CCK-8,Assay_CellTiter-Glo,Assay_CyQuant Assay,Assay_CytoTox-Glo,Assay_LDH,Assay_MTS,Assay_MTT,Assay_RTCA,Assay_WST,Cell_name_A431,Cell_name_A549,Cell_name_BEAS-2B,Cell_name_Calu-3,Cell_name_Chang Liver,Cell_name_HCMEC,Cell_name_HaCaT,Cell_name_Human olfactory neurosphere-derived cells,Cell_name_L-02,Cell_name_MCF-10A,Cell_name_MCF-7,Cell_name_MeT-5A,Cell_name_RAW264.7,Cell_name_THP-1,Cell_name_V79-4,Cell_name_WI-38,Cell_species_Hamster,Cell_species_Human,Cell_species_Mouse,Cell_origin_Blood,Cell_origin_Breast,Cell_origin_Liver,Cell_origin_Lung,Cell_origin_Mesothelium,Cell_origin_Nose,Cell_origin_Skin,Cell_type_Cancer,Cell_type_Normal
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,0.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,0.1,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,1.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,5.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,10.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,20.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,50.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,24.0,100.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,0.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,0.1,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,1.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,5.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,10.0,Nontoxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,20.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,50.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
46.0,239.0,43.0,24.0,-2.0,-5.0,-7.0,6.0,12.0,100.0,Toxic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,0.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,0.1,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,1.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,5.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,10.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,20.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,50.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,24.0,100.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,0.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,0.1,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,1.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,5.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,10.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,20.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,50.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42.0,957.0,-8.0,83.0,-9.0,-5.0,-7.0,6.0,12.0,100.0,Nontoxic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,0.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,0.1,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,1.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,5.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,10.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,20.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,50.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,24.0,100.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,0.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,0.1,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,1.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,5.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,10.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,20.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,50.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
47.0,1025.0,2.0,147.0,-12.0,-5.0,-7.0,6.0,12.0,100.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,0.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,6.2,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,12.5,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,25.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,50.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,100.0,Toxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,0.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,6.2,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,12.5,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,25.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,50.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,100.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,0.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,6.2,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,12.5,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,25.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,50.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12.0,20.0,-3.0,100.0,-12.0,-5.0,-7.0,6.0,24.0,100.0,Nontoxic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
